network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
LSTM,128,base,ND,0.993,0.9910853137662906,0.9954559999999999,0.9932658488033884,16,1.0,0.0,1.0,0.0
LSTM,512,low,ND,0.953,0.9173299285887996,0.9958020000000001,0.9549565964563682,3,0.9689,0.1168,0.9997,0.0118
GRU,64,low,ND,0.935,0.9102896556922904,0.9660540000000001,0.9373431784442526,6,0.9905,0.0637,1.0,0.005
LSTM,8,base,LRD,0.91,0.9593337916240284,0.8568520000000001,0.9052015292836264,18,1.0,0.0002,1.0,0.0001
GRU,64,low,LRD,0.89,0.868919923785593,0.918464,0.8930053115723828,6,0.9905,0.0637,1.0,0.005
GRU,2,base,LRD,0.89,0.9821939224824612,0.794092,0.8781833222006449,41,0.9948,0.0191,0.9953,0.0203
LSTM,16,low,LRD,0.8809999999999999,0.8531484491549954,0.9195780000000001,0.8851185640638656,14,1.0,0.0001,1.0,0.0001
GRU,512,high,LRD,0.8,0.7677835046951412,0.861298,0.811856736597923,2,0.952,0.2136,0.8487,0.4499
LSTM,32,base,ND,0.778,0.7915774102382805,0.754568,0.7726297660407343,12,1.0,0.0001,1.0,0.0001
SRNN,4,low,LRD,0.708,0.6460325138278408,0.9215459999999999,0.7595774932309074,33,0.9287,0.2252,0.9302,0.2267
SRNN,16,high,ND,0.675,0.6914416479969954,0.633308,0.6610992920387239,30,0.9992,0.01,0.9989,0.01
GRU,512,base,ND,0.601,0.5968870995704352,0.6197239999999999,0.6080912150559791,4,0.9627,0.1286,0.9999,0.0052
GRU,2,low,LRD,0.583,0.5815992081602172,0.5887680000000001,0.5851616487586999,48,1.0,0.0008,1.0,0.0007
SRNN,32,low,ND,0.58,0.5607304034303972,0.73779,0.6371887315039603,12,0.9985,0.0092,0.9997,0.0043
SRNN,2,base,ND,0.58,0.5476567230307887,0.917164,0.6858054679654512,96,0.7498,0.4785,0.7499,0.479
LSTM,16,low,ND,0.5660000000000001,0.6616537303200215,0.270226,0.3837320098550848,14,1.0,0.0001,1.0,0.0001
GRU,4,base,ND,0.563,0.6545942818142703,0.264714,0.3769796794916526,25,1.0,0.0005,1.0,0.0006
GRU,4,low,ND,0.561,0.6507361707200763,0.262002,0.3735883601022084,28,1.0,0.0004,1.0,0.0003
