network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,high,ND,0.535,0.5803761272820588,0.253304,0.3526810577201541,53,1.0,0.0016,1.0,0.0016
GRU,2,high,LRD,0.494,0.4804969559677191,0.13575,0.21169260518354494,53,1.0,0.0016,1.0,0.0016
GRU,4,high,ND,0.502,0.5183153186731271,0.06953200000000001,0.1226151743596526,27,1.0,0.0004,1.0,0.0003
GRU,4,high,LRD,0.499,0.4820999162411175,0.035686,0.06645301492893069,27,1.0,0.0004,1.0,0.0003
GRU,8,high,ND,0.5,0.0,0.0,0.0,17,1.0,0.0003,1.0,0.0002
GRU,8,high,LRD,0.342,1.900502366125446e-05,6e-06,9.120578609506988e-06,17,1.0,0.0003,1.0,0.0002
GRU,16,high,LRD,0.523,0.5895394935124149,0.152574,0.2424114356348337,10,0.9997,0.0031,0.9996,0.0031
GRU,16,high,ND,0.4920000000000001,0.26923500881834217,0.009770000000000001,0.018855762104743084,10,0.9997,0.0031,0.9996,0.0031
GRU,32,high,ND,0.511,0.5519762903272671,0.113982,0.18894685279213055,9,0.9985,0.0045,0.9999,0.0005
GRU,32,high,LRD,0.504,0.520911612095187,0.093164,0.15805939357745866,9,0.9985,0.0045,0.9999,0.0005
GRU,64,high,LRD,0.504,0.5220249600305438,0.087506,0.14988677900838282,8,0.997,0.0124,1.0,0.0001
GRU,64,high,ND,0.502,0.5124082046087617,0.08094,0.13979757504577014,8,0.997,0.0124,1.0,0.0001
GRU,128,high,ND,0.541,0.6012457531143828,0.244214,0.34734386778364074,15,1.0,0.0005,1.0,0.0004
GRU,128,high,LRD,0.489,0.4185440243516523,0.05555,0.09808231852122587,15,1.0,0.0005,1.0,0.0004
GRU,256,high,ND,0.503,0.5304088828540768,0.048438,0.0887694007818041,3,0.9796,0.123,0.9018,0.2439
GRU,256,high,LRD,0.503,0.5485433838796955,0.034872,0.06557525019462716,3,0.9796,0.123,0.9018,0.2439
GRU,512,high,LRD,0.8,0.7677835046951412,0.861298,0.811856736597923,2,0.952,0.2136,0.8487,0.4499
GRU,512,high,ND,0.5,0.0,0.0,0.0,2,0.952,0.2136,0.8487,0.4499
