network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,low,LRD,0.583,0.5815992081602172,0.5887680000000001,0.5851616487586999,48,1.0,0.0008,1.0,0.0007
GRU,2,low,ND,0.494,0.487766256097133,0.222398,0.30550182973065043,48,1.0,0.0008,1.0,0.0007
GRU,4,low,ND,0.561,0.6507361707200763,0.262002,0.3735883601022084,28,1.0,0.0004,1.0,0.0003
GRU,4,low,LRD,0.505,0.5179937004720795,0.134524,0.2135806722542316,28,1.0,0.0004,1.0,0.0003
GRU,8,low,ND,0.499,0.4920975507640778,0.056417999999999996,0.10123016414150476,12,0.9978,0.0107,0.9972,0.0121
GRU,8,low,LRD,0.498,0.4911121598238163,0.106148,0.17456571540400845,12,0.9978,0.0107,0.9972,0.0121
GRU,16,low,LRD,0.503,0.5283008840150938,0.059641999999999994,0.10718361317430053,19,0.9997,0.0015,0.9998,0.0012
GRU,16,low,ND,0.4970000000000001,0.4653319032296508,0.039046,0.0720465721323726,19,0.9997,0.0015,0.9998,0.0012
GRU,32,low,LRD,0.505,0.5251836472286922,0.099662,0.16753210295133664,9,0.9992,0.0026,1.0,0.0002
GRU,32,low,ND,0.5,0.0,0.0,0.0,9,0.9992,0.0026,1.0,0.0002
GRU,64,low,ND,0.935,0.9102896556922904,0.9660540000000001,0.9373431784442526,6,0.9905,0.0637,1.0,0.005
GRU,64,low,LRD,0.89,0.868919923785593,0.918464,0.8930053115723828,6,0.9905,0.0637,1.0,0.005
GRU,128,low,ND,0.516,0.5602801050782646,0.144178,0.22933958572596574,7,0.9733,0.1756,0.9999,0.0064
GRU,128,low,LRD,0.484,0.3242004148018775,0.0297,0.05441503833786792,7,0.9733,0.1756,0.9999,0.0064
GRU,256,low,LRD,0.5,0.4962159691182446,0.039077999999999995,0.07245038711399841,7,0.925,0.1928,0.9997,0.0047
GRU,256,low,ND,0.499,0.4855739577384352,0.042512,0.07817939405084823,7,0.925,0.1928,0.9997,0.0047
GRU,512,low,LRD,0.5,0.4354378818737271,0.0021379999999999997,0.004255107422555254,6,0.7197,0.5462,0.9971,0.0232
GRU,512,low,ND,0.4970000000000001,0.3049470477295808,0.004204,0.008293663554241229,6,0.7197,0.5462,0.9971,0.0232
