network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,base,LRD,0.89,0.9821939224824612,0.794092,0.8781833222006449,41,0.9948,0.0191,0.9953,0.0203
GRU,4,base,LRD,0.487,0.41304407599879017,0.060088,0.1049135905073524,25,1.0,0.0005,1.0,0.0006
GRU,8,base,LRD,0.488,0.33053521289837035,0.022838,0.04272402613801967,13,0.9998,0.0026,0.9996,0.0032
GRU,16,base,LRD,0.55,0.7134169614004733,0.168228,0.2722563250218885,12,0.9998,0.002,0.9996,0.0038
GRU,32,base,LRD,0.434,0.2674144540678688,0.075336,0.1175545360921262,9,1.0,0.0003,1.0,0.0003
GRU,64,base,LRD,0.51,0.536503828318775,0.14925,0.2335333557608806,10,1.0,0.0009,1.0,0.0007
GRU,128,base,LRD,0.5529999999999999,0.6106479529429446,0.292548,0.3955815717629496,5,0.9877,0.0832,0.9986,0.0152
GRU,256,base,LRD,0.4970000000000001,0.3636507060029976,0.00922,0.017984032831587917,5,0.9955,0.0219,0.9999,0.0024
GRU,512,base,LRD,0.5,0.4871727056334303,0.007368,0.014516453162372284,4,0.9627,0.1286,0.9999,0.0052
LSTM,2,base,LRD,0.5,0.0,0.0,0.0,36,0.9997,0.0135,0.9989,0.0149
LSTM,4,base,LRD,0.451,2.0460776691083194e-05,2e-06,3.6438235369137533e-06,27,1.0,0.0002,1.0,0.0002
LSTM,8,base,LRD,0.91,0.9593337916240284,0.8568520000000001,0.9052015292836264,18,1.0,0.0002,1.0,0.0001
LSTM,16,base,LRD,0.34299999999999997,0.0005409223680944897,0.00016999999999999999,0.00025869717061382754,17,0.9997,0.0015,1.0,0.0003
LSTM,32,base,LRD,0.5,0.0,0.0,0.0,12,1.0,0.0001,1.0,0.0001
LSTM,64,base,LRD,0.505,0.5959571652027433,0.029718,0.056612939175094724,14,0.9978,0.0099,1.0,0.0003
LSTM,128,base,LRD,0.34700000000000003,0.000699538435387492,0.00021400000000000002,0.0003277393032936268,16,1.0,0.0,1.0,0.0
LSTM,256,base,LRD,0.455,0.12824193229063552,0.015546,0.02773040891026236,12,1.0,0.0004,1.0,0.0002
LSTM,512,base,LRD,0.499,0.4678180647929629,0.008722,0.017124726597319572,2,0.9084,0.2497,0.9908,0.0432
SRNN,2,base,LRD,0.465,0.3568302915363333,0.086926,0.1397966880185525,96,0.7498,0.4785,0.7499,0.479
SRNN,4,base,LRD,0.488,0.33358247570861843,0.023208000000000003,0.043396797971525056,61,0.9997,0.002,0.9998,0.002
SRNN,8,base,LRD,0.461,0.03704324907152271,0.003092,0.0057075876581723535,36,1.0,0.0005,1.0,0.0005
SRNN,16,base,LRD,0.272,0.02101036432821073,0.009994,0.013545033781265458,22,0.9994,0.0037,0.9998,0.0028
SRNN,32,base,LRD,0.498,0.4916524986761058,0.14112,0.21929524673823186,26,1.0,0.0005,1.0,0.0004
SRNN,64,base,LRD,0.504,0.5052278675883265,0.36559400000000003,0.4242159823905705,13,1.0,0.0004,0.9997,0.0082
SRNN,128,base,LRD,0.484,0.039836273492447824,0.001382,0.002671326346391003,15,1.0,0.0001,1.0,0.0001
SRNN,256,base,LRD,0.503,0.5030842755050114,0.454758,0.4777020284252656,10,1.0,0.0001,1.0,0.0001
SRNN,512,base,LRD,0.484,0.01727574750830565,0.000572,0.0011073361016735877,10,1.0,0.0001,1.0,0.0001
