network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,high,LRD,0.494,0.4804969559677191,0.13575,0.21169260518354494,53,1.0,0.0016,1.0,0.0016
GRU,4,high,LRD,0.499,0.4820999162411175,0.035686,0.06645301492893069,27,1.0,0.0004,1.0,0.0003
GRU,8,high,LRD,0.342,1.900502366125446e-05,6e-06,9.120578609506988e-06,17,1.0,0.0003,1.0,0.0002
GRU,16,high,LRD,0.523,0.5895394935124149,0.152574,0.2424114356348337,10,0.9997,0.0031,0.9996,0.0031
GRU,32,high,LRD,0.504,0.520911612095187,0.093164,0.15805939357745866,9,0.9985,0.0045,0.9999,0.0005
GRU,64,high,LRD,0.504,0.5220249600305438,0.087506,0.14988677900838282,8,0.997,0.0124,1.0,0.0001
GRU,128,high,LRD,0.489,0.4185440243516523,0.05555,0.09808231852122587,15,1.0,0.0005,1.0,0.0004
GRU,256,high,LRD,0.503,0.5485433838796955,0.034872,0.06557525019462716,3,0.9796,0.123,0.9018,0.2439
GRU,512,high,LRD,0.8,0.7677835046951412,0.861298,0.811856736597923,2,0.952,0.2136,0.8487,0.4499
LSTM,2,high,LRD,0.483,0.3895267941899325,0.059910000000000005,0.10384797391580183,41,1.0,0.0005,1.0,0.0005
LSTM,4,high,LRD,0.282,0.0,0.0,0.0,23,1.0,0.0003,1.0,0.0002
LSTM,8,high,LRD,0.379,0.0,0.0,0.0,18,1.0,0.0002,1.0,0.0002
LSTM,16,high,LRD,0.502,0.6401724137931034,0.007426,0.01468169236852511,12,1.0,0.0001,1.0,0.0001
LSTM,32,high,LRD,0.498,0.4750516086803283,0.037739999999999996,0.06992488725677293,11,0.9977,0.0082,0.9997,0.0034
LSTM,64,high,LRD,0.5,0.0,0.0,0.0,10,0.9974,0.0094,1.0,0.001
LSTM,128,high,LRD,0.4920000000000001,0.365132019836483,0.021794,0.041132861747986214,7,0.9865,0.0637,1.0,0.0039
LSTM,256,high,LRD,0.4970000000000001,0.3672125311498754,0.008251999999999999,0.016141273306261687,5,0.9811,0.1184,1.0,0.0125
LSTM,512,high,LRD,0.5,0.0,0.0,0.0,3,0.9859,0.0545,0.9992,0.0166
SRNN,2,high,LRD,0.5,0.4987555408064096,0.042082,0.07761528771438637,100,0.8304,0.376,0.8333,0.3756
SRNN,4,high,LRD,0.502,0.5231579899588403,0.046266,0.08501372611710749,60,0.9948,0.0232,0.9955,0.0208
SRNN,8,high,LRD,0.539,0.6219830842197813,0.200908,0.3037130426632563,32,0.9997,0.0041,0.9996,0.0042
SRNN,16,high,LRD,0.5,0.0,0.0,0.0,30,0.9992,0.01,0.9989,0.01
SRNN,32,high,LRD,0.5,0.4967538490076053,0.037492000000000004,0.06972181568313134,17,0.9972,0.0121,0.9995,0.0044
SRNN,64,high,LRD,0.503,0.5040117888319867,0.35981199999999997,0.41987611850427337,7,0.9853,0.0461,0.9999,0.0067
SRNN,128,high,LRD,0.4970000000000001,0.4935635317280024,0.234648,0.3180770711446805,8,0.9998,0.011,0.9999,0.0068
SRNN,256,high,LRD,0.496,0.4948486049276241,0.339672,0.4028329901993339,8,1.0,0.0018,1.0,0.0012
SRNN,512,high,LRD,0.49,0.4590629630539251,0.11215,0.1802617049558708,3,0.8978,0.2681,0.9999,0.0338
