network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,low,LRD,0.583,0.5815992081602172,0.5887680000000001,0.5851616487586999,48,1.0,0.0008,1.0,0.0007
GRU,4,low,LRD,0.505,0.5179937004720795,0.134524,0.2135806722542316,28,1.0,0.0004,1.0,0.0003
GRU,8,low,LRD,0.498,0.4911121598238163,0.106148,0.17456571540400845,12,0.9978,0.0107,0.9972,0.0121
GRU,16,low,LRD,0.503,0.5283008840150938,0.059641999999999994,0.10718361317430053,19,0.9997,0.0015,0.9998,0.0012
GRU,32,low,LRD,0.505,0.5251836472286922,0.099662,0.16753210295133664,9,0.9992,0.0026,1.0,0.0002
GRU,64,low,LRD,0.89,0.868919923785593,0.918464,0.8930053115723828,6,0.9905,0.0637,1.0,0.005
GRU,128,low,LRD,0.484,0.3242004148018775,0.0297,0.05441503833786792,7,0.9733,0.1756,0.9999,0.0064
GRU,256,low,LRD,0.5,0.4962159691182446,0.039077999999999995,0.07245038711399841,7,0.925,0.1928,0.9997,0.0047
GRU,512,low,LRD,0.5,0.4354378818737271,0.0021379999999999997,0.004255107422555254,6,0.7197,0.5462,0.9971,0.0232
LSTM,2,low,LRD,0.5,0.4996709232862253,0.47526,0.4871598537474899,15,0.9997,0.1135,0.9956,0.1228
LSTM,4,low,LRD,0.278,0.0,0.0,0.0,31,1.0,0.0004,1.0,0.0003
LSTM,8,low,LRD,0.5,0.0,0.0,0.0,17,1.0,0.0003,1.0,0.0002
LSTM,16,low,LRD,0.8809999999999999,0.8531484491549954,0.9195780000000001,0.8851185640638656,14,1.0,0.0001,1.0,0.0001
LSTM,32,low,LRD,0.491,0.0923118327801202,0.002058,0.004026239027129182,14,1.0,0.0002,1.0,0.0002
LSTM,64,low,LRD,0.5,0.5052268244575937,0.010246,0.0200846826361391,8,0.9932,0.032,0.9999,0.0026
LSTM,128,low,LRD,0.496,0.3735466140511592,0.010602,0.02061879729516853,7,0.9855,0.0921,0.9975,0.0148
LSTM,256,low,LRD,0.5,0.5348012413181616,0.007238,0.014282697965731787,6,1.0,0.007,1.0,0.0042
LSTM,512,low,LRD,0.507,0.5663234521283843,0.058191999999999994,0.10553940407380068,3,0.9689,0.1168,0.9997,0.0118
SRNN,2,low,LRD,0.501,0.5008343546198626,0.366162,0.4230387082462983,4,0.5052,0.693,0.5043,0.693
SRNN,4,low,LRD,0.708,0.6460325138278408,0.9215459999999999,0.7595774932309074,33,0.9287,0.2252,0.9302,0.2267
SRNN,8,low,LRD,0.508,0.5274726047136059,0.150086,0.23368090317296955,38,0.9998,0.0053,0.9998,0.0052
SRNN,16,low,LRD,0.5,0.0,0.0,0.0,21,1.0,0.0004,1.0,0.0003
SRNN,32,low,LRD,0.486,0.3878439758377948,0.049696,0.08810300903970628,12,0.9985,0.0092,0.9997,0.0043
SRNN,64,low,LRD,0.487,0.37483627109763856,0.040063999999999995,0.07239060280932781,10,0.9991,0.0058,0.9998,0.0028
SRNN,128,low,LRD,0.4920000000000001,0.4836734526820723,0.236348,0.3175329089673073,10,0.8987,0.2287,0.9531,0.176
SRNN,256,low,LRD,0.501,0.5008499534288751,0.41189799999999993,0.4520395654516741,4,0.9918,0.0491,1.0,0.0141
SRNN,512,low,LRD,0.503,0.5029621584011423,0.497332,0.5001312345196063,6,1.0,0.0066,1.0,0.0027
