network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
LSTM,2,base,LRD,0.5,0.0,0.0,0.0,36,0.9997,0.0135,0.9989,0.0149
LSTM,2,base,ND,0.5,0.0,0.0,0.0,36,0.9997,0.0135,0.9989,0.0149
LSTM,4,base,ND,0.5,0.0,0.0,0.0,27,1.0,0.0002,1.0,0.0002
LSTM,4,base,LRD,0.451,2.0460776691083194e-05,2e-06,3.6438235369137533e-06,27,1.0,0.0002,1.0,0.0002
LSTM,8,base,LRD,0.91,0.9593337916240284,0.8568520000000001,0.9052015292836264,18,1.0,0.0002,1.0,0.0001
LSTM,8,base,ND,0.5,0.0,0.0,0.0,18,1.0,0.0002,1.0,0.0001
LSTM,16,base,ND,0.5,0.0,0.0,0.0,17,0.9997,0.0015,1.0,0.0003
LSTM,16,base,LRD,0.34299999999999997,0.0005409223680944897,0.00016999999999999999,0.00025869717061382754,17,0.9997,0.0015,1.0,0.0003
LSTM,32,base,ND,0.778,0.7915774102382805,0.754568,0.7726297660407343,12,1.0,0.0001,1.0,0.0001
LSTM,32,base,LRD,0.5,0.0,0.0,0.0,12,1.0,0.0001,1.0,0.0001
LSTM,64,base,LRD,0.505,0.5959571652027433,0.029718,0.056612939175094724,14,0.9978,0.0099,1.0,0.0003
LSTM,64,base,ND,0.5,0.0,0.0,0.0,14,0.9978,0.0099,1.0,0.0003
LSTM,128,base,ND,0.993,0.9910853137662906,0.9954559999999999,0.9932658488033884,16,1.0,0.0,1.0,0.0
LSTM,128,base,LRD,0.34700000000000003,0.000699538435387492,0.00021400000000000002,0.0003277393032936268,16,1.0,0.0,1.0,0.0
LSTM,256,base,ND,0.5,0.0,0.0,0.0,12,1.0,0.0004,1.0,0.0002
LSTM,256,base,LRD,0.455,0.12824193229063552,0.015546,0.02773040891026236,12,1.0,0.0004,1.0,0.0002
LSTM,512,base,ND,0.499,0.0,0.0,0.0,2,0.9084,0.2497,0.9908,0.0432
LSTM,512,base,LRD,0.499,0.4678180647929629,0.008722,0.017124726597319572,2,0.9084,0.2497,0.9908,0.0432
