network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
LSTM,2,high,ND,0.531,0.5914076242872154,0.200376,0.2993340364442506,41,1.0,0.0005,1.0,0.0005
LSTM,2,high,LRD,0.483,0.3895267941899325,0.059910000000000005,0.10384797391580183,41,1.0,0.0005,1.0,0.0005
LSTM,4,high,ND,0.5,0.0,0.0,0.0,23,1.0,0.0003,1.0,0.0002
LSTM,4,high,LRD,0.282,0.0,0.0,0.0,23,1.0,0.0003,1.0,0.0002
LSTM,8,high,ND,0.5,0.0,0.0,0.0,18,1.0,0.0002,1.0,0.0002
LSTM,8,high,LRD,0.379,0.0,0.0,0.0,18,1.0,0.0002,1.0,0.0002
LSTM,16,high,ND,0.517,0.6583325518146863,0.070198,0.12686805888146896,12,1.0,0.0001,1.0,0.0001
LSTM,16,high,LRD,0.502,0.6401724137931034,0.007426,0.01468169236852511,12,1.0,0.0001,1.0,0.0001
LSTM,32,high,ND,0.511,0.5543206583483989,0.11222,0.18665287256142896,11,0.9977,0.0082,0.9997,0.0034
LSTM,32,high,LRD,0.498,0.4750516086803283,0.037739999999999996,0.06992488725677293,11,0.9977,0.0082,0.9997,0.0034
LSTM,64,high,LRD,0.5,0.0,0.0,0.0,10,0.9974,0.0094,1.0,0.001
LSTM,64,high,ND,0.285,0.0,0.0,0.0,10,0.9974,0.0094,1.0,0.001
LSTM,128,high,ND,0.5,0.0,0.0,0.0,7,0.9865,0.0637,1.0,0.0039
LSTM,128,high,LRD,0.4920000000000001,0.365132019836483,0.021794,0.041132861747986214,7,0.9865,0.0637,1.0,0.0039
LSTM,256,high,ND,0.521,0.6075350227133703,0.12116800000000001,0.2020406155528988,5,0.9811,0.1184,1.0,0.0125
LSTM,256,high,LRD,0.4970000000000001,0.3672125311498754,0.008251999999999999,0.016141273306261687,5,0.9811,0.1184,1.0,0.0125
LSTM,512,high,LRD,0.5,0.0,0.0,0.0,3,0.9859,0.0545,0.9992,0.0166
LSTM,512,high,ND,0.5,0.0,0.0,0.0,3,0.9859,0.0545,0.9992,0.0166
