network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
LSTM,2,low,LRD,0.5,0.4996709232862253,0.47526,0.4871598537474899,15,0.9997,0.1135,0.9956,0.1228
LSTM,2,low,ND,0.499,0.0,0.0,0.0,15,0.9997,0.1135,0.9956,0.1228
LSTM,4,low,ND,0.48,0.3277380056361695,0.037448,0.06721578946423733,31,1.0,0.0004,1.0,0.0003
LSTM,4,low,LRD,0.278,0.0,0.0,0.0,31,1.0,0.0004,1.0,0.0003
LSTM,8,low,ND,0.555,0.6601348036352592,0.226046,0.3367728824872023,17,1.0,0.0003,1.0,0.0002
LSTM,8,low,LRD,0.5,0.0,0.0,0.0,17,1.0,0.0003,1.0,0.0002
LSTM,16,low,LRD,0.8809999999999999,0.8531484491549954,0.9195780000000001,0.8851185640638656,14,1.0,0.0001,1.0,0.0001
LSTM,16,low,ND,0.5660000000000001,0.6616537303200215,0.270226,0.3837320098550848,14,1.0,0.0001,1.0,0.0001
LSTM,32,low,LRD,0.491,0.0923118327801202,0.002058,0.004026239027129182,14,1.0,0.0002,1.0,0.0002
LSTM,32,low,ND,0.327,0.20707130549001154,0.122334,0.15380360099623958,14,1.0,0.0002,1.0,0.0002
LSTM,64,low,LRD,0.5,0.5052268244575937,0.010246,0.0200846826361391,8,0.9932,0.032,0.9999,0.0026
LSTM,64,low,ND,0.491,0.3012812103721195,0.01378,0.02635459359801404,8,0.9932,0.032,0.9999,0.0026
LSTM,128,low,ND,0.5,0.0,0.0,0.0,7,0.9855,0.0921,0.9975,0.0148
LSTM,128,low,LRD,0.496,0.3735466140511592,0.010602,0.02061879729516853,7,0.9855,0.0921,0.9975,0.0148
LSTM,256,low,ND,0.502,0.5384492021489856,0.026860000000000002,0.05116755755873982,6,1.0,0.007,1.0,0.0042
LSTM,256,low,LRD,0.5,0.5348012413181616,0.007238,0.014282697965731787,6,1.0,0.007,1.0,0.0042
LSTM,512,low,ND,0.953,0.9173299285887996,0.9958020000000001,0.9549565964563682,3,0.9689,0.1168,0.9997,0.0118
LSTM,512,low,LRD,0.507,0.5663234521283843,0.058191999999999994,0.10553940407380068,3,0.9689,0.1168,0.9997,0.0118
