network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,base,ND,0.5,0.0,0.0,0.0,41,0.9948,0.0191,0.9953,0.0203
GRU,4,base,ND,0.563,0.6545942818142703,0.264714,0.3769796794916526,25,1.0,0.0005,1.0,0.0006
GRU,8,base,ND,0.472,0.1637769056962778,0.013772,0.02540748461843573,13,0.9998,0.0026,0.9996,0.0032
GRU,16,base,ND,0.5,0.0,0.0,0.0,12,0.9998,0.002,0.9996,0.0038
GRU,32,base,ND,0.5,0.0,0.0,0.0,9,1.0,0.0003,1.0,0.0003
GRU,64,base,ND,0.515,0.5504308716997974,0.160324,0.2483198711346194,10,1.0,0.0009,1.0,0.0007
GRU,128,base,ND,0.496,0.0,0.0,0.0,5,0.9877,0.0832,0.9986,0.0152
GRU,256,base,ND,0.5,0.0,0.0,0.0,5,0.9955,0.0219,0.9999,0.0024
GRU,512,base,ND,0.601,0.5968870995704352,0.6197239999999999,0.6080912150559791,4,0.9627,0.1286,0.9999,0.0052
LSTM,2,base,ND,0.5,0.0,0.0,0.0,36,0.9997,0.0135,0.9989,0.0149
LSTM,4,base,ND,0.5,0.0,0.0,0.0,27,1.0,0.0002,1.0,0.0002
LSTM,8,base,ND,0.5,0.0,0.0,0.0,18,1.0,0.0002,1.0,0.0001
LSTM,16,base,ND,0.5,0.0,0.0,0.0,17,0.9997,0.0015,1.0,0.0003
LSTM,32,base,ND,0.778,0.7915774102382805,0.754568,0.7726297660407343,12,1.0,0.0001,1.0,0.0001
LSTM,64,base,ND,0.5,0.0,0.0,0.0,14,0.9978,0.0099,1.0,0.0003
LSTM,128,base,ND,0.993,0.9910853137662906,0.9954559999999999,0.9932658488033884,16,1.0,0.0,1.0,0.0
LSTM,256,base,ND,0.5,0.0,0.0,0.0,12,1.0,0.0004,1.0,0.0002
LSTM,512,base,ND,0.499,0.0,0.0,0.0,2,0.9084,0.2497,0.9908,0.0432
SRNN,2,base,ND,0.58,0.5476567230307887,0.917164,0.6858054679654512,96,0.7498,0.4785,0.7499,0.479
SRNN,4,base,ND,0.488,0.0,0.0,0.0,61,0.9997,0.002,0.9998,0.002
SRNN,8,base,ND,0.5,0.0,0.0,0.0,36,1.0,0.0005,1.0,0.0005
SRNN,16,base,ND,0.5,0.0,0.0,0.0,22,0.9994,0.0037,0.9998,0.0028
SRNN,32,base,ND,0.515,0.5637694343367515,0.13634200000000002,0.21958062230239,26,1.0,0.0005,1.0,0.0004
SRNN,64,base,ND,0.511,0.5294127398108036,0.19162200000000001,0.2813931768520476,13,1.0,0.0004,0.9997,0.0082
SRNN,128,base,ND,0.441,0.4089846729155903,0.265984,0.3223360834537117,15,1.0,0.0001,1.0,0.0001
SRNN,256,base,ND,0.382,0.15576706878775345,0.053482,0.0796250556446366,10,1.0,0.0001,1.0,0.0001
SRNN,512,base,ND,0.4970000000000001,0.4974597681987904,0.614718,0.5499075463140635,10,1.0,0.0001,1.0,0.0001
