network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,high,ND,0.535,0.5803761272820588,0.253304,0.3526810577201541,53,1.0,0.0016,1.0,0.0016
GRU,4,high,ND,0.502,0.5183153186731271,0.06953200000000001,0.1226151743596526,27,1.0,0.0004,1.0,0.0003
GRU,8,high,ND,0.5,0.0,0.0,0.0,17,1.0,0.0003,1.0,0.0002
GRU,16,high,ND,0.4920000000000001,0.26923500881834217,0.009770000000000001,0.018855762104743084,10,0.9997,0.0031,0.9996,0.0031
GRU,32,high,ND,0.511,0.5519762903272671,0.113982,0.18894685279213055,9,0.9985,0.0045,0.9999,0.0005
GRU,64,high,ND,0.502,0.5124082046087617,0.08094,0.13979757504577014,8,0.997,0.0124,1.0,0.0001
GRU,128,high,ND,0.541,0.6012457531143828,0.244214,0.34734386778364074,15,1.0,0.0005,1.0,0.0004
GRU,256,high,ND,0.503,0.5304088828540768,0.048438,0.0887694007818041,3,0.9796,0.123,0.9018,0.2439
GRU,512,high,ND,0.5,0.0,0.0,0.0,2,0.952,0.2136,0.8487,0.4499
LSTM,2,high,ND,0.531,0.5914076242872154,0.200376,0.2993340364442506,41,1.0,0.0005,1.0,0.0005
LSTM,4,high,ND,0.5,0.0,0.0,0.0,23,1.0,0.0003,1.0,0.0002
LSTM,8,high,ND,0.5,0.0,0.0,0.0,18,1.0,0.0002,1.0,0.0002
LSTM,16,high,ND,0.517,0.6583325518146863,0.070198,0.12686805888146896,12,1.0,0.0001,1.0,0.0001
LSTM,32,high,ND,0.511,0.5543206583483989,0.11222,0.18665287256142896,11,0.9977,0.0082,0.9997,0.0034
LSTM,64,high,ND,0.285,0.0,0.0,0.0,10,0.9974,0.0094,1.0,0.001
LSTM,128,high,ND,0.5,0.0,0.0,0.0,7,0.9865,0.0637,1.0,0.0039
LSTM,256,high,ND,0.521,0.6075350227133703,0.12116800000000001,0.2020406155528988,5,0.9811,0.1184,1.0,0.0125
LSTM,512,high,ND,0.5,0.0,0.0,0.0,3,0.9859,0.0545,0.9992,0.0166
SRNN,2,high,ND,0.491,0.33284115635685424,0.017131999999999998,0.03258669750597259,100,0.8304,0.376,0.8333,0.3756
SRNN,4,high,ND,0.5,0.0,0.0,0.0,60,0.9948,0.0232,0.9955,0.0208
SRNN,8,high,ND,0.5,0.0,0.0,0.0,32,0.9997,0.0041,0.9996,0.0042
SRNN,16,high,ND,0.675,0.6914416479969954,0.633308,0.6610992920387239,30,0.9992,0.01,0.9989,0.01
SRNN,32,high,ND,0.507,0.5572476810189672,0.07245,0.12822849982389598,17,0.9972,0.0121,0.9995,0.0044
SRNN,64,high,ND,0.4920000000000001,0.4728342973800612,0.138966,0.21480176211453744,7,0.9853,0.0461,0.9999,0.0067
SRNN,128,high,ND,0.485,0.2811626281453868,0.019308000000000002,0.03613456701401365,8,0.9998,0.011,0.9999,0.0068
SRNN,256,high,ND,0.501,0.5015193026151931,0.322176,0.3923234291281052,8,1.0,0.0018,1.0,0.0012
SRNN,512,high,ND,0.512,0.534429197080292,0.183042,0.2726882681564246,3,0.8978,0.2681,0.9999,0.0338
