network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
GRU,2,low,ND,0.494,0.487766256097133,0.222398,0.30550182973065043,48,1.0,0.0008,1.0,0.0007
GRU,4,low,ND,0.561,0.6507361707200763,0.262002,0.3735883601022084,28,1.0,0.0004,1.0,0.0003
GRU,8,low,ND,0.499,0.4920975507640778,0.056417999999999996,0.10123016414150476,12,0.9978,0.0107,0.9972,0.0121
GRU,16,low,ND,0.4970000000000001,0.4653319032296508,0.039046,0.0720465721323726,19,0.9997,0.0015,0.9998,0.0012
GRU,32,low,ND,0.5,0.0,0.0,0.0,9,0.9992,0.0026,1.0,0.0002
GRU,64,low,ND,0.935,0.9102896556922904,0.9660540000000001,0.9373431784442526,6,0.9905,0.0637,1.0,0.005
GRU,128,low,ND,0.516,0.5602801050782646,0.144178,0.22933958572596574,7,0.9733,0.1756,0.9999,0.0064
GRU,256,low,ND,0.499,0.4855739577384352,0.042512,0.07817939405084823,7,0.925,0.1928,0.9997,0.0047
GRU,512,low,ND,0.4970000000000001,0.3049470477295808,0.004204,0.008293663554241229,6,0.7197,0.5462,0.9971,0.0232
LSTM,2,low,ND,0.499,0.0,0.0,0.0,15,0.9997,0.1135,0.9956,0.1228
LSTM,4,low,ND,0.48,0.3277380056361695,0.037448,0.06721578946423733,31,1.0,0.0004,1.0,0.0003
LSTM,8,low,ND,0.555,0.6601348036352592,0.226046,0.3367728824872023,17,1.0,0.0003,1.0,0.0002
LSTM,16,low,ND,0.5660000000000001,0.6616537303200215,0.270226,0.3837320098550848,14,1.0,0.0001,1.0,0.0001
LSTM,32,low,ND,0.327,0.20707130549001154,0.122334,0.15380360099623958,14,1.0,0.0002,1.0,0.0002
LSTM,64,low,ND,0.491,0.3012812103721195,0.01378,0.02635459359801404,8,0.9932,0.032,0.9999,0.0026
LSTM,128,low,ND,0.5,0.0,0.0,0.0,7,0.9855,0.0921,0.9975,0.0148
LSTM,256,low,ND,0.502,0.5384492021489856,0.026860000000000002,0.05116755755873982,6,1.0,0.007,1.0,0.0042
LSTM,512,low,ND,0.953,0.9173299285887996,0.9958020000000001,0.9549565964563682,3,0.9689,0.1168,0.9997,0.0118
SRNN,2,low,ND,0.501,0.5008863973935125,0.5854239999999999,0.5398658044906437,4,0.5052,0.693,0.5043,0.693
SRNN,4,low,ND,0.442,0.3605304900824161,0.148646,0.21050231608343284,33,0.9287,0.2252,0.9302,0.2267
SRNN,8,low,ND,0.529,0.5823414380503464,0.20607199999999998,0.3044196332286456,38,0.9998,0.0053,0.9998,0.0052
SRNN,16,low,ND,0.498,0.0,0.0,0.0,21,1.0,0.0004,1.0,0.0003
SRNN,32,low,ND,0.58,0.5607304034303972,0.73779,0.6371887315039603,12,0.9985,0.0092,0.9997,0.0043
SRNN,64,low,ND,0.514,0.5458579597482183,0.17049,0.2598271476621043,10,0.9991,0.0058,0.9998,0.0028
SRNN,128,low,ND,0.498,0.4954453947880635,0.17818,0.2620995619415785,10,0.8987,0.2287,0.9531,0.176
SRNN,256,low,ND,0.5,0.4993958909102389,0.348026,0.4101917974841092,4,0.9918,0.0491,1.0,0.0141
SRNN,512,low,ND,0.501,0.5046386609682367,0.135552,0.21370127351782894,6,1.0,0.0066,1.0,0.0027
