network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
SRNN,2,base,ND,0.58,0.5476567230307887,0.917164,0.6858054679654512,96,0.7498,0.4785,0.7499,0.479
SRNN,2,base,LRD,0.465,0.3568302915363333,0.086926,0.1397966880185525,96,0.7498,0.4785,0.7499,0.479
SRNN,4,base,LRD,0.488,0.33358247570861843,0.023208000000000003,0.043396797971525056,61,0.9997,0.002,0.9998,0.002
SRNN,4,base,ND,0.488,0.0,0.0,0.0,61,0.9997,0.002,0.9998,0.002
SRNN,8,base,ND,0.5,0.0,0.0,0.0,36,1.0,0.0005,1.0,0.0005
SRNN,8,base,LRD,0.461,0.03704324907152271,0.003092,0.0057075876581723535,36,1.0,0.0005,1.0,0.0005
SRNN,16,base,ND,0.5,0.0,0.0,0.0,22,0.9994,0.0037,0.9998,0.0028
SRNN,16,base,LRD,0.272,0.02101036432821073,0.009994,0.013545033781265458,22,0.9994,0.0037,0.9998,0.0028
SRNN,32,base,ND,0.515,0.5637694343367515,0.13634200000000002,0.21958062230239,26,1.0,0.0005,1.0,0.0004
SRNN,32,base,LRD,0.498,0.4916524986761058,0.14112,0.21929524673823186,26,1.0,0.0005,1.0,0.0004
SRNN,64,base,ND,0.511,0.5294127398108036,0.19162200000000001,0.2813931768520476,13,1.0,0.0004,0.9997,0.0082
SRNN,64,base,LRD,0.504,0.5052278675883265,0.36559400000000003,0.4242159823905705,13,1.0,0.0004,0.9997,0.0082
SRNN,128,base,LRD,0.484,0.039836273492447824,0.001382,0.002671326346391003,15,1.0,0.0001,1.0,0.0001
SRNN,128,base,ND,0.441,0.4089846729155903,0.265984,0.3223360834537117,15,1.0,0.0001,1.0,0.0001
SRNN,256,base,LRD,0.503,0.5030842755050114,0.454758,0.4777020284252656,10,1.0,0.0001,1.0,0.0001
SRNN,256,base,ND,0.382,0.15576706878775345,0.053482,0.0796250556446366,10,1.0,0.0001,1.0,0.0001
SRNN,512,base,ND,0.4970000000000001,0.4974597681987904,0.614718,0.5499075463140635,10,1.0,0.0001,1.0,0.0001
SRNN,512,base,LRD,0.484,0.01727574750830565,0.000572,0.0011073361016735877,10,1.0,0.0001,1.0,0.0001
