network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
SRNN,2,high,LRD,0.5,0.4987555408064096,0.042082,0.07761528771438637,100,0.8304,0.376,0.8333,0.3756
SRNN,2,high,ND,0.491,0.33284115635685424,0.017131999999999998,0.03258669750597259,100,0.8304,0.376,0.8333,0.3756
SRNN,4,high,LRD,0.502,0.5231579899588403,0.046266,0.08501372611710749,60,0.9948,0.0232,0.9955,0.0208
SRNN,4,high,ND,0.5,0.0,0.0,0.0,60,0.9948,0.0232,0.9955,0.0208
SRNN,8,high,LRD,0.539,0.6219830842197813,0.200908,0.3037130426632563,32,0.9997,0.0041,0.9996,0.0042
SRNN,8,high,ND,0.5,0.0,0.0,0.0,32,0.9997,0.0041,0.9996,0.0042
SRNN,16,high,ND,0.675,0.6914416479969954,0.633308,0.6610992920387239,30,0.9992,0.01,0.9989,0.01
SRNN,16,high,LRD,0.5,0.0,0.0,0.0,30,0.9992,0.01,0.9989,0.01
SRNN,32,high,ND,0.507,0.5572476810189672,0.07245,0.12822849982389598,17,0.9972,0.0121,0.9995,0.0044
SRNN,32,high,LRD,0.5,0.4967538490076053,0.037492000000000004,0.06972181568313134,17,0.9972,0.0121,0.9995,0.0044
SRNN,64,high,LRD,0.503,0.5040117888319867,0.35981199999999997,0.41987611850427337,7,0.9853,0.0461,0.9999,0.0067
SRNN,64,high,ND,0.4920000000000001,0.4728342973800612,0.138966,0.21480176211453744,7,0.9853,0.0461,0.9999,0.0067
SRNN,128,high,LRD,0.4970000000000001,0.4935635317280024,0.234648,0.3180770711446805,8,0.9998,0.011,0.9999,0.0068
SRNN,128,high,ND,0.485,0.2811626281453868,0.019308000000000002,0.03613456701401365,8,0.9998,0.011,0.9999,0.0068
SRNN,256,high,ND,0.501,0.5015193026151931,0.322176,0.3923234291281052,8,1.0,0.0018,1.0,0.0012
SRNN,256,high,LRD,0.496,0.4948486049276241,0.339672,0.4028329901993339,8,1.0,0.0018,1.0,0.0012
SRNN,512,high,ND,0.512,0.534429197080292,0.183042,0.2726882681564246,3,0.8978,0.2681,0.9999,0.0338
SRNN,512,high,LRD,0.49,0.4590629630539251,0.11215,0.1802617049558708,3,0.8978,0.2681,0.9999,0.0338
