network,hidden_units,corpus,experiment,accuracy,precision,recall,f1_score,epoch,train_acc,train_loss,val_acc,val_loss
SRNN,2,low,ND,0.501,0.5008863973935125,0.5854239999999999,0.5398658044906437,4,0.5052,0.693,0.5043,0.693
SRNN,2,low,LRD,0.501,0.5008343546198626,0.366162,0.4230387082462983,4,0.5052,0.693,0.5043,0.693
SRNN,4,low,LRD,0.708,0.6460325138278408,0.9215459999999999,0.7595774932309074,33,0.9287,0.2252,0.9302,0.2267
SRNN,4,low,ND,0.442,0.3605304900824161,0.148646,0.21050231608343284,33,0.9287,0.2252,0.9302,0.2267
SRNN,8,low,ND,0.529,0.5823414380503464,0.20607199999999998,0.3044196332286456,38,0.9998,0.0053,0.9998,0.0052
SRNN,8,low,LRD,0.508,0.5274726047136059,0.150086,0.23368090317296955,38,0.9998,0.0053,0.9998,0.0052
SRNN,16,low,LRD,0.5,0.0,0.0,0.0,21,1.0,0.0004,1.0,0.0003
SRNN,16,low,ND,0.498,0.0,0.0,0.0,21,1.0,0.0004,1.0,0.0003
SRNN,32,low,ND,0.58,0.5607304034303972,0.73779,0.6371887315039603,12,0.9985,0.0092,0.9997,0.0043
SRNN,32,low,LRD,0.486,0.3878439758377948,0.049696,0.08810300903970628,12,0.9985,0.0092,0.9997,0.0043
SRNN,64,low,ND,0.514,0.5458579597482183,0.17049,0.2598271476621043,10,0.9991,0.0058,0.9998,0.0028
SRNN,64,low,LRD,0.487,0.37483627109763856,0.040063999999999995,0.07239060280932781,10,0.9991,0.0058,0.9998,0.0028
SRNN,128,low,ND,0.498,0.4954453947880635,0.17818,0.2620995619415785,10,0.8987,0.2287,0.9531,0.176
SRNN,128,low,LRD,0.4920000000000001,0.4836734526820723,0.236348,0.3175329089673073,10,0.8987,0.2287,0.9531,0.176
SRNN,256,low,LRD,0.501,0.5008499534288751,0.41189799999999993,0.4520395654516741,4,0.9918,0.0491,1.0,0.0141
SRNN,256,low,ND,0.5,0.4993958909102389,0.348026,0.4101917974841092,4,0.9918,0.0491,1.0,0.0141
SRNN,512,low,LRD,0.503,0.5029621584011423,0.497332,0.5001312345196063,6,1.0,0.0066,1.0,0.0027
SRNN,512,low,ND,0.501,0.5046386609682367,0.135552,0.21370127351782894,6,1.0,0.0066,1.0,0.0027
